detention_facility_code,detention_facility_name,state
MISCOMO,Mississippi County Detention Cente,MO
MISSOMT,Missoula County,MT
MIWPRPH,Walter Reuther Psychiatric Center,MI
MLDHOLD,"Midland, TX ERO Holdroom",TX
MLJHOLD,Mount Laurel Hold Room,NJ
MNCOAKC,"Minn.C.F, Oak Park Hgts",MN
MNROEMI,Monroe County Sheriff/Jail-Main,MI
MNTGMAL,Montgomery City Jail,AL
MOFFECO,Moffat County Jail,CO
MOHAVAZ,Mohave Co Corr Center,AZ
MONCJAL,Montgomery City Jail,AL
MONMONJ,Monmouth County Jail,NJ
MONROFL,Monroe County Jail,FL
MONROMI,Monroe County Detention-Dorm,MI
MONRONY,Monroe County Jail,NY
MONTGAL,Montgomery Co Mac Sim Butler D.F.,AL
MONTGMO,Montgomery County Jail,MO
MONTGNY,Montgomery County Jail,NY
MONTGPA,"Montgomery Cnty Jail, PA",PA
MONTGTX,Montgomery County Jail,TX
MORGACO,Morgan County Jail,CO
MORGNMO,Morgan County Sheriff's Dept,MO
MOROWOH,Morrow Co. Correctional Facility,OH
MOUNTND,"Mountrail Co. Jail, ND",ND
MPSIPAN,Saipan Department Of Corrections,MP
MRCDSTX,Mercedes Police Dept.,TX
MSF,Miami Staging Facility,FL
MSKGNMI,Muskegon County Jail,MI
MTGHOLD,Montgomery Hold Rm,TX
MTGPCTX,Montgomery Processing Ctr,TX
MTPPDCA,Monterey Park Police Dept,CA
MULTNOR,Multnomah County Jail,OR
MUSCAIA,Muscatine County Jail,IA
MUSIKCA,James A Musick Facility,CA
MUSSEMT,Musselshell County Jail,MT
NASHUMA,Nashua St. Jail,MA
NASSAFL,Nassau County Jail,FL
NASSANY,Nassau Co Correc Center,NY
NATCHLA,Natchitoches Parish Det. Center,LA
NATROWY,Natrona County Jail,WY
NAVSOAZ,Navajo County Sheriff,AZ
NBRMCFL,North Broward Medical Center,FL
NEJUVNE,N.E.Neb.Juvenile Services,NE
NEWHOLD,New/INS Os Hold Room,NJ
NFMIGFL,Neighbor-Family Miami Gardens,FL
NFSMTGA,"Neighbor-Family, Stone Mountain",GA
NGDCTGA,North Georgia Detention Center,GA
NHSPCON,"NH State Prison, Concord",NH
NIAGANY,Niagara County Jail,NY
NIOBRWY,Niobrara County Jail,WY
NIXHCTX,Nix Home Care,TX
NNREGVA,Northern Neck Reg. Jail,VA
NOBLEMN,Nobles Co. Jail,MN
NOJUVOR,Northern Oregon Juv.Det.,OR
NOLHOLD,Nol D D & P,LA
NOLVGNV,North Las Vegas,NV
NORCOOR,Northern Oregon Corr.Fac.,OR
NORFOMA,Norflk Cnty Dedham,MA
NORFOVA,Norfolk City Jail,VA
NORHOLD,Norfolk Sub-Office Hold,VA
NRPHOLD,North Platte Hold Room,NE
NSVHOLD,Nashville Hold Room,TN
NVJDCVA,No. Va. Juvenile Det - ICE,VA
NVSDCNV,Nevada Southern Detention Center,NV
NWHNVNC,New Hanover Co Det Center,NC
NWRCCMN,NW Regional Corrections Center,MN
NWREGVA,Northwest Reg. Adult Det.,VA
NYADIRC,"Adirondack CF, Raybrook",NY
NYBUFFC,"Buffalo CF, Alden,Ny",NY
NYCHOLD,Nyc Hold Room,NY
NYEPANV,Nye County Sheriff-Pahrump,NV
NYFISHC,Fishkill C.F. Beacon Ny,NY
NYMOHOC,Mohawk Correctional,NY
NYOGDNC,Ogdensburg Correctional,NY
NYORLNC,Orleans Correctional,NY
NYULSTC,"Ulster CF, Napanoch",NY
OAK,Oakdale Fed. Det. Center,LA
OAKHOLD,Oakdale Holding Room,LA
OCCWJCA,Orange County Central Women's Jail,CA
OCIRCCA,Orange Count Intake Release Fac.,CA
ODESSTX,Odessa Detention Center,TX
OGCMCCA,Orange Co Global Medical Center,CA
OGLECIL,Ogle County Jail,IL
OGRMCNY,Orange Regional Med Ctr,NY
OGUHOLD,Ogden Hold Room,UT
OKANOWA,Okanogan Co. Jail,WA
OKCHOLD,Oklahoma City Hold Room.,OK
OKCOJOK,Oklahoma County Jail,OK
OKMULOK,Okmulgee County Jail,OK
OLACCLA,Lasalle Corr Ctr Olla,LA
OLDHAKY,Oldham County Jail,KY
OMAHOLD,Omaha FO Hold,NE
ONECONY,Oneida County Jail,NY
ONONDNY,Onondaga County Jail,NY
ONTARNY,Ontario County Jail,NY
ORANGFL,Orange County Jail,FL
ORANGNY,Orange County Jail,NY
ORLEANY,Orleans County Jail,NY
ORLHOLD,Orlando Hold Room,FL
ORPARLA,Orleans Parish Sheriff,LA
OSAHOKS,Osawatamie State Hospital,KS
OTEROCO,Otero County Jail,CO
OTERONM,Otero County Detention,NM
OTROPNM,Otero County Prison Facility,NM
OTRPCNM,Otero Co Processing Center,NM
PALMBFL,Palm Beach County Jail,FL
PAMREVA,Pamunkey Reg Jail,VA
PARKCMT,Park County Det Center,MT
PARKCWY,Park County Jail,WY
PARKJCO,Park County Jail,CO
PASADCA,Pasadena City Jail,CA
PASSANJ,Passaic County Jail,NJ
PAVHRPR,Pavia Hospital - Hato Rey,PR
PCJDCIL,Peoria County Juv Det Center,IL
PCSHOLD,Pecos Hold Room,TX
PDNHOLD,Pdn Hold Room,TX
PECOSTX,Pecos Criminal Justice Center,TX
PEMBIND,Pembina County Jail,ND
PENDOWA,Pend Orielle Correctional Facility,WA
PENDRNC,Pender County Jail,NC
PENNISD,Pennington County Jail SD,SD
PENOBME,Penobscot County Jail,ME
PERRYAL,Perry County Corr. Center,AL
PHELPNE,Phelps County Jail,NE
PHIHOLD,Phi District Office,PA
PHILLMT,"Phillips County Jail, MT",MT
PHOHOLD,Phoenix Dist Office,AZ
PIC,Port Isabel SPC,TX
PICKJOH,Pickaway County Jail,OH
PIERCND,Pierce County Jail,ND
PIKCOPA,Pike County Jail,PA
PIMAJAZ,Pima County Jail,AZ
PINALAZ,Pinal County Jail,AZ
PINELFL,Pinellas County Jail,FL
PINEPLA,Pine Prairie ICE Processing Center,LA
PISCAME,Piscataguis County Jail,ME
PITHOLD,Pittsburgh Holdroom,PA
PKEHOLD,Pike County ERO Hold Room,PA
PLATTMO,Platte County Jail,MO
PLATTWY,Platte County Jail,WY
PLMBHTX,Palms Behavioral Health,TX
PLMVWTX,Palmview Police Dept.,TX
PLRMCCA,Palmdale Regional Medical Center,CA
PLYMOMA,Plymouth Co Cor Facilty,MA
PMHOSFL,Palmetto Hospital,FL
PMREGVA,Piedmont Reg Jail,VA
POLKCTX,IAH Secure Adult Det. Facility,TX
POLKJIA,Polk County Jail,IA
POMHOLD,"Portland, ME Holdroom",ME
POMONCA,Pomona City Jail,CA
PONDEMT,Pondera County Jail,MT
POOHOLD,Portland District Office,OR
POTTAIA,Pottawattamie County Jail,IA
PRESITX,Presidio County Jail,TX
PRLDCTX,Prairieland Detention Center,TX
PRLHOLD,Prairieland Suboffice Hold Room,TX
PROHOLD,Providence Holdroom,RI
PROWECO,Prowers County Jail,CO
PRUHOLD,Provo Hold Room,UT
PRVEGAL,Vega Alta Det. Facility,PR
PRYCOAL,Perry County Jail,AL
PTISBTX,Port Isabel Police Dept.,TX
PUEBLCO,Pueblo County Jail,CO
PUEHOLD,Pueblo Holdroom,CO
PULASIL,Pulaski County Jail,IL
PWHOSFL,Palms West Hospital,FL
PWILLVA,Prince William,VA
QLTYSCA,Quality Suites,CA
QUEHONY,Queens House Of Detention,NY
RAADCMN,"Ramsey ADC Annex, SPM",MN
RADDFGA,Robert A Deyton Detention Fac,GA
RAPPSVA,Rapp Sec Center,VA
RCKISIL,Rock Island Correctional Center,IL
RCMHOLD,Richmond Sub-Office Hold,VA
RDUHOLD,Raleigh Hold Room,NC
REDETTX,Reeves County Det. Center,TX
REDHOLD,Redding Hold Room,CA
REHOSIL,Riveredge Hospital,IL
REJAITX,Reeves County Jail,TX
REJUVTX,Reeves Co. Juv. Det. Ctr.,TX
RENHOLD,Reno Hold Room,NV
RENSSNY,Rensselaer Co Sheriff,NY
RGHOSTX,Rio Grande St.Hospital,TX
RGRNDTX,Rio Grande Detention Center,TX
RGS,Rio Grande Valley Staging,TX
RICECKS,Rice County Det Center,KS
RICHMVA,Richmond City Jail,VA
RICRANS,"ACI, Cranston RI",RI
RIIHOLD,Rock Island Hold Room,IL
RIOCCCA,Rio Cosumnes Corrections-RCCC,CA
RIOGRCO,Rio Grande County Jail,CO
RIVERCA,Riverside County Sheriff,CA
RMKHOLD,Roanoke Sub-Office Hold Room,VA
RNDLLTX,Randall County Jail,TX
ROANOVA,Roanoke County Jail,VA
ROBERSD,"Roberts Co. Jail, SD",SD
ROCKIIL,Rock Island County Jail,IL
ROCKINH,Rockingham County Jail,NH
ROCKIVA,Rockingham Co. Jail,VA
RONKEVA,Roanoke City Jail,VA
ROSEAMN,Roseau County Jail,MN
ROSEBMT,Rosebud County Jail,MT
ROUTTCO,Routt County Jail,CO
RPCHOLD,Rapid City Hold Room,SD
RRFINWA,Red Roof Inn,WA
RRIVRIL,Rock River Health Care,IL
RSREGVA,Riverside Reg Jail,VA
RSWHOLD,Roswell Hold Room,NM
RVRCCLA,River Correctional Center,LA
RWCCMLA,Richwood Cor Center,LA
SAAHOLD,Santa Ana DRO Holdroom,CA
SACHOLD,Sacramento Hold,CA
SACITCA,Santa Ana City Jail,CA
SACRACA,Sacramento County Jail,CA
SAGHOLD,San Angelo Holdroom,TX
SAIHOLD,Saipain Hold,MP
SAJHOLD,DHS/ICE/DRO,PR
SALEMNJ,Salem County Correctional Facility,NJ
SALHOLD,Salisbury Hold Room,MD
SALINNE,Saline County Jail,NE
SAMBCMI,Samaritan Behavioral Center,MI
SANANCA,Santa Ana County Jail,CA
SANDONM,Sandoval County Det Ctr,NM
SANJAIL,Sangamon County Jail,IL
SANMINM,San Miguel County Det Ctr,NM
SANTANM,Santa Fe County Jail,NM
SARJUNE,Sarpy County Juvenile,NE
SARPYNE,Sarpy County Jail,NE
SBARBCA,Santa Barbara County Jail,CA
SBDHOLD,San Bernadino Hold Room,CA
SBERNCA,San Bernardino Co. Jail,CA
SBNTOTX,San Benito Police Dept.,TX
SCNORCA,Santa Clara Co Main Jail,CA
SCOTTIA,Scott County Det.Facility,IA
SCOTTMO,Scott County Jail,MO
SCOTTNE,Scotts Bluff Co Jail,NE
SCRUZAZ,Santa Cruz Co Jail AZ,AZ
SDHOSCA,San Diego Area Hospital,CA
SDPROCA,S.D. County Probation,CA
SEAHOLD,Seattle Field Office Hold Room,WA
SEBASAR,Sebastian County Det Cnt,AR
SENECNY,Seneca County Jail,NY
SENECOH,Seneca County Jail,OH
SFCORNM,Santa Fe Cornell Det. Fac.,NM
SFDHOLD,Sioux Falls Hold Room,SD
SFRHOLD,SFR Hold Room,CA
SGUHOLD,"St. George, UT Holdroom",UT
SHACOKS,Shawnee County Dept Of Corr.,KS
SHAJUKS,Shawnee County Juv.Det.Ctr,KS
SHECOVA,Shenandoah Co Jail,VA
SHERBMN,Sherburne County Jail,MN
SHERIMT,Sheridan County Jail,MT
SHERIWY,Sheridan County Jail,WY
SILBOMT,Butte-Silver Bow County Jail,MT
SILERTN,Silverdale/Hamilton County,TN
SISAONE,Sleep Inn Suites Airport,NE
SITKAAK,"Sitka City Jail, Sitka AK",AK
SJS,San Juan Staging,PR
SJUANNM,San Juan County Detention Center,NM
SJUANTX,San Juan Police Dept.,TX
SJUHOLD,San Juan Airport Hold Room,PR
SLCHOLD,Salt Lake City Hold Room,UT
SLJUVCA,San Luis Obispo Co. Juven,CA
SLOBICA,San Luis Obispo Co Jail,CA
SLRDCAZ,San Luis Regional Det Center,AZ
SLSLCUT,Salt Lake County Jail,UT
SMARYMD,St. Mary's Co Det Cntr,MD
SNAHOLD,San Antonio Dro Hold Room,TX
SNDCOCA,San Diego County Jail,CA
SNDHOLD,SND District Staging,CA
SNJHOLD,SNJ Hold Room,CA
SOBAYCA,South Bay Detent Facility,CA
SOLONOH,Solon City Jail,OH
SOMERME,Somerset County Jail,ME
SONMACA,Sonoma Co Main Adult Det,CA
SOUTECO,Southern Ute Detention Center,CO
SPGHOLD,Springfield Dro Hold,MO
SPHOSCA,San Pedro Peninsula Hospital,CA
SPIPDTX,South Padre Island Police Dept.,TX
SPMHOLD,US INS/Detention & Deportation,MN
SPRNGOR,Springfield City Jail,OR
SRJDFID,Snake River Juvenile,ID
SSMHOLD,Sault Sainte Marie Holdroom,MI
STAHOLD,Saint Albans Hold Room,VT
STCDFTX,South Texas ICE Processing Center,TX
STCLAMI,St. Clair County Jail,MI
STCROWI,St. Croix County Jail,WI
STDHOLD,South Texas/Pearsall Hold Room,TX
STEUBNY,Steuben County Jail,NY
STEVEWA,Stevens County Jail,WA
STFRCTX,South Texas Fam Residential Center,TX
STJOSAZ,St. Joseph's Hospital & Med. Cen.,AZ
STJOSCA,St. Joseph's Hospital,CA
STK,Stockton Staging Facility,CA
STLAWNY,St Lawrence County Jail,NY
STLHOLD,St. Louis Holdroom,MO
STMARAZ,St Mary's Hospital,AZ
STMARCA,St Mary Medical Center,CA
STMRYIL,St. Mary of The Nazareth,IL
STOPDIL,Stone Park Police Dept.,IL
STORYIA,Story County Jail,IA
STRAFNH,Strafford Co Dept Of Corr,NH
STTAMLA,St Tammany Parish Jail,LA
STTCJVI,St T Criminal Just Complx,VI
STUHOLD,Stuart Hold Room,FL
STUTSND,"Stutsman Co. Jail, ND",ND
STWRTGA,Stewart Detention Center,GA
SUFFOMA,Suffolk Hoc Sbay,MA
SUFFONY,Suffolk Co.Correc Fac,NY
SUMMIUT,Summit County Jail,UT
SUNNYWA,Sunnyside Jail,WA
SUSSEDE,"Sussex Co Pris,Geotwn,DE",DE
SUSSENJ,Sussex County Jail,NJ
SWEETWY,Sweetwater County Jail,WY
SXCHOLD,Sioux City Hold Room,IA
TALHOLD,Tallahassee Hold Room,FL
TALLAMS,Tallahatchie Co Corr Facility,MS
TAMHOLD,Tampa Hold Room,FL
TAYLOTX,Taylor County Adult Det.,TX
TELLECO,Teller County Jail,CO
TEMPLCA,Temple Medical,CA
TENSALA,Tensas Parish Det. Cntr.,LA
TETONWY,Teton County Detention Center,WY
TFALLID,Twin Falls County Jail,ID
TFIHOLD,Twin Falls Hold Room,ID
TGREETX,Tom Green Cty Jail,TX
THPSCTX,Thop Sierra Campus Elp,TX
TIOGANY,Tioga County Jail,NY
TITUSTX,Titus County Jail,TX
TLACYCA,Theo Lacy Facility,CA
TNWESDF,Western Tennessee Det. Fac.,TN
TOOELUT,Tooele County Jail,UT
TOOLEMT,Toole County Jail,MT
TOORANM,"Torrance/Estancia, NM",NM
TORHOLD,Tornillo Adult Hold Room,TX
TRAVITX,Travis County Jail,TX
TRICOIL,Tri-County Jail,IL
TUCHOLD,Tucson INS Hold Room,AZ
TULCOOK,Tulsa County Jail,OK
TULHOLD,Tulsa Hold Room,OK
TXAHOLD,Texarkana Holdroom,TX
TXHUNTS,Huntsville State P.,TX
UINTAWY,Uinta County Jail,WY
UINTCUT,Uintah County Jail,UT
UMATCOR,Umatilla Co Jail,OR
UMCEPTX,University Med Center of El Paso,TX
UMIAHFL,University Of Miami Hospital,FL
UNIONNM,Union County Detention Center,NM
UNIONSD,Union County Jail,SD
UPSTANY,Upstate University Hospital,NY
USMS2TX,US Marshals  SDTX,TX
USMS3TX,US Marshals  SDTX,TX
USMSDFL,"US Marshals,S.Dist.FL",FL
USMSDMS,"US Marshals, S.Dist, MS",MS
USMVT,"US Marshal's, Vermont",VT
USMWDLA,"US Marshals, W.D. LA.",LA
UTAHCUT,Utah County Jail,UT
UVALDTX,Uvalde County Jail,TX
VALJUTX,Val Verde County Juvenile,TX
VALVETX,Val Verde Detention Center,TX
VBHOSTX,Valley Baptist Hospital,TX
VENHOLD,Ventura Custody Case,CA
VENTUCA,Ventura County Jail,CA
VIRBEVA,Virginia Beach,VA
VISTACA,Vista Detention Facility,CA
VNBRNMI,Van Buren Township PD,MI
VPREGVA,Virginia Peninsula Reg. Jail,VA
VRK,Varick Street SPC,NY
VTCHTDN,Chittenden Reg. Cor. Facility,VT
VTDCORR,VT. Dept. Of Corrections,VT
VTSTALB,Northwest State Correctional Ctr.,VT
VVGMCCA,Victor Valley Global Med Center,CA
VVSHOLD,Shreveport Hold Room,LA
WACLATX,Central Texas Detention Facility,TX
WAJAIMN,Washington County Jail,MN
WAKECNC,Wake County Sheriff Dept.,NC
WAKULFL,Wakulla County Jail,FL
WALSHND,Walsh County Jail,ND
WALWOWI,Walworth County Jail,WI
WARCOTX,"Ward Cty Jail, Monahans",TX
WARDCND,Ward County Jail,ND
WASATUT,Wasatch County Jail,UT
WASCONY,Washington County Jail,NY
WASHAWY,Washakie County Jail,WY
WASHCUT,Washington County Jail,UT
WASHIAR,Washington County Jail,AR
WASHICO,Washington County Jail,CO
WASHIME,Washington County Jail,ME
WASHOLD,Washington Field Office,VA
WASHONV,Washoe County Jail,NV
WASHTMI,"Washtenaw Co, An Arbor,MI",MI
WAUKEWI,Waukesha County Jail,WI
WAYNEMI,"Wayne County, Detroit",MI
WAYNENY,Wayne County Jail,NY
WBATOLA,West Baton Rouge Det Ctr,LA
WCCBXTX,Bexar County Wackenhut Annual Det.,TX
WCCPBFL,Broward Transitional Center,FL
WCCSDCA,Wackenhut Corrections Corp,CA
WCRDFTX,Willacy Co  Regional Detn Facil,TX
WCTHOLD,Waco DRO Hold Room,TX
WEBDCTX,Webb County Detention Center (CCA),TX
WEBERUT,Weber County Jail,UT
WESHOLD,Westminster Custody,CA
WHITFGA,Whitfield County Jail,GA
WICHOLD,Wichita Holdroom,KS
WIDODGE,"Dodge Corr Institute, Wau",WI
WILLCTX,Willacy County Detention Center,TX
WILLITN,Williamson County Jail,TN
WILLITX,Williamson County Jail,TX
WINCOTX,Winkler County Jail,TX
WKBHMFL,West Kendall Baptist Hosp,FL
WMHOSCA,White Memorial Hospital,CA
WMLNDPA,Westmoreland County Jail,PA
WOAKSTX,West Oaks Hospital,TX
WORCEMD,Worcester Co. Jail,MD
WSTMCCA,Western Medical Center,CA
WTREGVA,Western Tidewater Reg. Jail,VA
WTXDFTX,West Texas Detention Facility,TX
WVEASTR,Eastern Regional Jail,WV
WVNORTH,Northern Regional Jail,WV
WVREGWV,WV Regional Jail & Corr.,WV
WVSCENT,South Central Regional Jail,WV
WYATTRI,Wyatt Detention Center,RI
WYMCONY,Wyoming County Jail,NY
YAKHOLD,Yakima Sub-Office,WA
YANCOSD,Yankton Co. Jail SD,SD
YATESNY,Yates County Jail,NY
YAVAPAZ,Yavapai County Jail,AZ
YAVCVAZ,Yavapai County Detention Center,AZ
YELLOMT,Yellowstone County Jail,MT
YIKIMWA,Yakima County,WA
YORCOPA,"York County Jail, PA",PA
YORCOSC,York County Detention Center,SC
YORKCME,York County Jail,ME
YUBAJCA,Yuba County Jail,CA
YUMHOLD,Yuma Holdroom,AZ
ZAVCOTX,Zavala County Jail,TX
FIPCMGA,Folkston Main IPC,GA
HESPCAZ,Holiday Inn Express Casa De La Luz,AZ
ALESSAZ,Stes On Scottsdale Casa De Alegria,AZ
MSVPCPA,Moshannon Valley Processing Center,PA
HAVACTX,Hotel Ava Casa Do Tranquilidade,TX
WINWYAZ,Wingate Wyndham Casa Esperanza,AZ
BWEPATX,Best Western Casa De Estrella,TX
CISEPTX,Comfort Suites Casa Consuelo,TX
LQWCSTX,La Quinta Wyndham Casa Do Sonho,TX
CSCLQTX,La Quinta Wyndham Casa De Paz,TX
PCKNSAL,Pickens County Det Ctr,AL
MCAHOLD,Mcallen Hold Room,TX
HCPSCMS,Hancock Co Pub Sfty Cplx,MS
GLDSACA,Golden State Annex,CA
BOPMVC,Moshannon Valley Correctional,PA
HISMCTX,Hampton Inn & Stes Mcallen,TX
YRKHOLD,York Hold Room,PA
BCORCPA,Berks County Residential Center,PA
FINNEKS,Finney County Jail,KS
SPOHOLD,Spokane Hold Room,WA
HIEXSTX,Holiday Inn Expr & Stes Pearsall,TX
SUPHDTX,Super 8 By Wyndham,TX
NBGHOLD,Newburgh Holding,NY
HIPANAZ,Hampton Inn Pho Airport N,AZ
FLORHAZ,Florence Hospital,AZ
SSHBWTX,Surestay Hotel Best West,TX
WVIRGVA,Western Virginia Regional Jail,VA
BELCOTX,Bell County Jail,TX
BWRGMTX,Best West Rose Grdn I&S,TX
IMPHOLD,Imperial Sub Office Hold Room,CA
RDHEATX,Radisson Htl Elp Airport,TX
LQSNATX,La Quinta Inn By Wyndham SNA,TX
HTLPPTX,Hotel Pharr Plaza,TX
UVHSATX,University Hospital,TX
HISPAAZ,Holiday Inn & Ste Pho Ap,AZ
HCAHCTX,HCA Houston Hc Conroe,TX
DISPTAZ,Drury Inn Stes Pho Tempe,AZ
HISEPTX,Hampton Inn & Stes Elp Ap,TX
MHNHHTX,Memorial Hermann NW Hosp,TX
DISSATX,Drury Inn & Stes SNA Ap,TX
PTISATX,Pear Tree Inn SNA Airport,TX
SLINPAZ,Sleep Inn Phoenix,AZ
TASTDTX,Trusted Adult South Tex Dilley FSC,TX
WNTHOLD,Wenatchee Hold Room,WA
HIELPTX,Holiday Inn Express & Suites,TX
SP8WWTX,Super 8 Wyndham Weslaco,TX
CISAETX,Comfort Inn Ste Elp Airp,TX
PVLYHCA,Paradise Valley Hospital,CA
SSPBAAZ,Staybridge Ste Pho  B A ,AZ
FDLHOLD,Ferndale Hold Room,WA
CSHEPTX,Chase Ste Hotel Elp,TX
VWHMCAZ,Valleywise Health Med Ctr,AZ
RICHOLD,Richland Hold Room,WA
CPPAPAZ,Crowne Plaza Phoenix Ap,AZ
FRIRHTX,Frio Regional Hospital,TX
HIESPAZ,Holiday Inn Exp Phoenix,AZ
LASHOLD,Las Cruces Hold Room,NM
TAKARTX,Trusted Adult Karnes FSC,TX
THHHBTX,Tex Health Huguley Hosp,TX
WOODBIA,Woodbury County Jail,IA
TVMSATX,Texas Vista Medical Center,TX
HNDMCTX,Hendrick Medical Center,TX
MVMCMAZ,Mountain Vista Med Ctr,AZ
HIESATX,Holiday Inn Exp San Antonio,TX
BRDFDFL,Bradford County Jail,FL
LEVYCFL,Levy County Jail,FL
MSTHSTX,Methodist Specialty Transplant Hos,TX
COLUMFL,Columbia County Jail,FL
NRJDCVA,NW Reg Juv Det Ctr,VA
CRPHOLD,Corpus Christi EOR Hold Room,TX
HIPDBAZ,Holiday Inn Pho Dwtn Ballpark,AZ
LRDMCTX,Laredo Medical Center,TX
FPSSAWA,Four Pts Sheraton Sea Ap,WA
CMDHOLD,Batavia Command Center Holdroom,NY
MHMSATX,Methodist Hospital Metropolitan,TX
DORCDSC,Dorchester Co Det Ctr,SC
LEXFCKY,Lexington Processing @ Fayette Co,KY
ANCHOLD,Anchorage Sub-Office Hold Room,AK
CHANRAZ,Chandler Reg Med Ctr,AZ
GCPFCKS,Garden City Processing @ Finney Co,KS
MHTSATX,Methodist Hospital Texsan,TX
MTHOSTX,Methodist Hospital South,TX
PUTMAFL,Putman County Jail,FL
SCVMCCA,Sharp Chula Vista Medical Center,CA
STJONFL,St. John's County Jail,FL
UCHUHCO,Uchealth Unv Hosp Of Co,CO
BIDHPMA,Beth Israel Deaconess Hosp,MA
HISDBCA,Holiday Inn SND Bayside,CA
MHNSATX,Methodist Hospital Northeast,TX
MHSOSTX,Methodist Hospital Stone Oak,TX
BIMDCAZ,Banner Ironwood Med Ctr,AZ
HIRAYTX,Holiday Inn Express & Suites,TX
LAURITX,Laurel Ridge Treatment Ctr,TX
PKCNTPA,Pike County Jail,PA
PKLDHTX,Parkland Hospital,TX
SMRVLTX,Somervell County Sheriff's Dept.,TX
WMDBHFL,West Miami Dade Bapt Health Emerg,FL
BMCSATX,Baptist Medical Center,TX
CISPVLA,County Inn & Ste By Rad,LA
CSANOLA,Comfort Suites Alexandria,LA
FNDDUWI,Fond Du Lac County Sheriff/Jail,WI
HOLIETX,Holiday Inn Exp SNA Ap,TX
NEBHSTX,Northeast Baptist Hospital,TX
CCHRTTX,Cedar Crest Hosp Treat,TX
DEKABGA,Dekalb County Jail,GA
LIMMCTX,Limeston Medical Center,TX
MIRHPRI,Miriam Hospital,RI
PRSHANM,Presbyterian Hosp Abq,NM
UCSDHCA,Unv California San Diego Hospital,CA
ANSGHTX,Anson General Hospital,TX
BNMCTAZ,Banner Medical Ctr Tucson,AZ
BSWRRTX,Baylor Scott White Med RR,TX
CHISLTX,Chi St Luke's Health Mem,TX
EFMHMFL,Ed Fraser Memorial Hospital,FL
GMHATGA,Grady Memorial Hospital,GA
HDHSPNV,Henderson Hospital,NV
HHCHKTX,Houston Healthcare Hosp,TX
MVPNHPA,Penn Highlands Clearfield,PA
NYMARCC,Marcy Correctional,NY
RESIDTX,Residence Inn Dallas Ap,TX
RMWYPAZ,Ramada By Wyndham Pho,AZ
WWDHDNH,Wentworth Douglas Hospital,NH
AKGSCCC,Goose Creek Correctional Center,AK
ASWHRTX,Ascension Seton Williams Hosp,TX
BELMOOH,Belmont County Jail,OH
BOPPET,Petersburg Fed.Corr.Inst.,VA
DVHSPNV,Desert View Hospital,NV
EPCDFTX,El Paso County Detention Facility,TX
EXTSAAZ,Extended Stay America,AZ
HASMHTX,Haskell Memorial Hospital,TX
HCAFMFL,HCA Florida Memorial Hospital,FL
LIMCJTX,Limestone County Jail,TX
MWASHVA,Mary Washington Hospital,VA
NRVRJVA,New River Valley Reg. Jail,VA
NYEASTC,Eastern C.F. Napanoch,NY
NYGREAC,Great Meadow C.F.,NY
NYGROVC,Groveland C.F. Sonyea,NY
NYMDSTC,Midstate Correctional,NY
OKMHKTX,Otto Kaiser Memorial Hospital,TX
RVBHHTX,Rio Vista Behv Hlth Hsp,TX
SHNMCTX,Shannon Medical Center,TX
SUWANFL,Suwannee County Jail,FL
TRRMCNJ,Trinitas Regional Med Ctr,NJ
UHGMCOH,Univ Hosp Geauga Med Ctr,OH
UPMCAPA,UPMC Altoona,PA
ABRMCTX,Abilene Regional Med Ctr,TX
ANDERSC,Anderson County Det Center,SC
ANWHMMN,Abbott Northwestern Hosp,MN
BARTOGA,Bartow Co Jail,GA
BSTAYTX,Baylor Scott White Md Ctr,TX
CCCSSTX,Christus Spohn Hosp CC - South,TX
CHFLDVA,Chesterfield Co. Jail,VA
CHIHMIA,Chi Health Mercy Council Bluffs,IA
CRMCFCA,Community Reg Med Center,CA
DRHCSTX,Dimmit Regional Hospital,TX
EMBSATX,Embassy Ste Hltn SNA Ap,TX
ENLMCCA,Enloe Medical Center,CA
ESAPAAZ,Extended Stay America Pho Ap,AZ
ESHSATX,Embassy Ste Hltn NW I-10,TX
FLBREVC,Brevard Correctional,FL
FREESTX,Freestone County Jail,TX
GOODCID,Gooding County Jail,ID
GRAHAAZ,Graham Co Jail Safford AZ,AZ
GSAMHCA,Good Samaritan Hospital,CA
HACMCNJ,Hackensack Med Ctr,NJ
HACTCND,Heart Of America Corr,ND
HAMILTX,Hamilton County Jail (TX),TX
HAMPITX,Hampton Inn Pearsall,TX
HISAXLA,Hampton Inn & Stes Alexandria,LA
HSELPTX,Hawthorn Stes El Paso Airp,TX
INDMPIN,Indianapolis Metropolitan PD,IN
KERNHCA,Kern Medical Hospital,CA
LCIMCTX,La Copa Inn Hotel,TX
MEMHOCA,Memorial Hospital Bakersfield,CA
MRREGVA,Middle River Regional Jail,VA
NCBHOTX,North Central Baptist Hospital,TX
NNVMCNV,Northern Nevada Med Ctr,NV
NYLIVIC,Livingston Correctional,NY
PMMCAHI,Pali Momi Medical Center,HI
RAMEPTX,Ramada By Wyndham El Paso,TX
RDRVHTX,Red River Hospital,TX
SLBHSTX,St Luke's Baptist Hospital,TX
THHEBTX,TX Health Meth Hosp Heb,TX
TRVLIAZ,Traveler's Inn - Phoenix,AZ
UNIVHNJ,University Hospital,NJ
VICTOTX,Victoria County Jail,TX
GTMOACU,JTF Camp Six,CU
